Metrics,,exceptionality,exceptionality,exceptionality,exceptionality,exceptionality,#sg,#sg,#sg,#sg,#sg,length,length,length,length,length,sgCov,sgCov,sgCov,sgCov,sgCov,setCov,setCov,setCov,setCov,setCov,description redundancy,description redundancy,description redundancy,description redundancy,description redundancy,cover redundancy,cover redundancy,cover redundancy,cover redundancy,cover redundancy,CR,CR,CR,CR,CR,model redundancy,model redundancy,model redundancy,model redundancy,model redundancy
Algorithms,,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules
Data sets,Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actg320,0,1.0,1.0,1.0,0.0,1.0,5,2,3.0,3.0,8.0,1.4,1.0,3.333333333333333,2.6666666666666665,2.75,0.3760208514335361,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.25,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.41173279467906954,0.0,1.0,0.3333333333333333,0.6592207069738437,0.29038560056271284,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.4,0.0,1.0,1.0,0.39285714285714285
actg320,1,1.0,1.0,1.0,0.0,1.0,4,2,3.0,3.0,8.0,1.0,1.0,3.333333333333333,2.6666666666666665,2.75,0.4244135534317984,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.4358574234461929,0.0,1.0,0.3333333333333333,0.6592207069738437,0.3299040396540036,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,2,1.0,1.0,1.0,0.0,1.0,5,2,3.0,3.0,8.0,1.6,1.0,3.333333333333333,2.6666666666666665,2.75,0.30842745438748914,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.2,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.45614467102731815,0.0,1.0,0.3333333333333333,0.6592207069738437,0.41049717942756503,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.2,0.0,1.0,1.0,0.39285714285714285
actg320,3,1.0,1.0,1.0,0.0,1.0,3,2,3.0,3.0,8.0,1.0,1.0,3.333333333333333,2.6666666666666665,2.75,0.4480162177816392,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6592207069738437,0.33581995252154656,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,4,1.0,1.0,1.0,0.0,1.0,6,4,3.0,3.0,8.0,1.3333333333333333,1.0,3.333333333333333,2.6666666666666665,2.75,0.3690993339125398,0.4613379669852302,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.23333333333333334,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.5554194892989985,0.4383262444329625,1.0,0.3333333333333333,0.6592207069738437,0.4314633871172853,0.3024799527472268,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.4666666666666667,0.3333333333333333,1.0,1.0,0.39285714285714285
actg320,5,1.0,1.0,1.0,0.0,1.0,3,2,3.0,3.0,8.0,1.0,1.0,3.333333333333333,2.6666666666666665,2.75,0.4480162177816392,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6592207069738437,0.33581995252154623,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,6,1.0,1.0,1.0,0.0,1.0,4,2,3.0,3.0,8.0,1.25,1.0,3.333333333333333,2.6666666666666665,2.75,0.4554735013032146,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.16666666666666666,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.43711738181278603,0.0,1.0,0.3333333333333333,0.6592207069738437,0.3080632752013909,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,7,1.0,1.0,1.0,0.0,1.0,2,4,3.0,3.0,8.0,1.0,2.0,3.333333333333333,2.6666666666666665,2.75,0.5,0.342745438748914,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,0.9600347523892268,0.09817549956559514,0.5047784535186794,1.0,0.0,0.05555555555555555,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.0,0.3441073622619692,1.0,0.3333333333333333,0.6592207069738437,0.0,0.3484114215995533,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.0,0.16666666666666666,1.0,1.0,0.39285714285714285
