Metrics,,exceptionality,exceptionality,exceptionality,exceptionality,exceptionality,#sg,#sg,#sg,#sg,#sg,length,length,length,length,length,sgCov,sgCov,sgCov,sgCov,sgCov,setCov,setCov,setCov,setCov,setCov,description redundancy,description redundancy,description redundancy,description redundancy,description redundancy,cover redundancy,cover redundancy,cover redundancy,cover redundancy,cover redundancy,CR,CR,CR,CR,CR,model redundancy,model redundancy,model redundancy,model redundancy,model redundancy
Algorithms,,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS,EsmamDS-pop,Esmam-pop,BS-EMM-pop,BS-SD-pop,DSSD-CBSS
Data sets,Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actg320,0,1.0,1.0,1.0,0.0,1.0,3,6,4.0,4.0,4.0,1.0,1.8333333333333333,4.0,4.0,4.0,0.4011004923255141,0.3211699971039676,0.15334491746307558,0.2291485664639444,0.18592528236316247,1.0,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.5,0.736111111111111,0.6250000000000001,0.8333333333333334,0.3333333333333333,0.5917174480508015,0.9101368363437329,0.5,1.0,0.2692093204151394,0.5976729373994929,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.0,0.6666666666666666,1.0,1.0,1.0
actg320,1,1.0,1.0,1.0,0.0,1.0,2,11,4.0,4.0,4.0,1.5,1.5454545454545454,4.0,4.0,4.0,0.470894874022589,0.3017139246505015,0.15334491746307558,0.2291485664639444,0.18592528236316247,0.941789748045178,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.17272727272727273,0.736111111111111,0.6250000000000001,0.8333333333333334,0.0,0.3802586350595217,0.9101368363437329,0.5,1.0,0.058210251954822025,0.3512529509964005,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.0,0.41818181818181815,1.0,1.0,1.0
actg320,2,1.0,1.0,1.0,0.0,1.0,2,3,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,0.4643788010425717,0.3996524761077324,0.15334491746307558,0.2291485664639444,0.18592528236316247,0.9287576020851434,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.0,0.736111111111111,0.6250000000000001,0.8333333333333334,0.0,0.3333333333333333,0.9101368363437329,0.5,1.0,0.07124239791485615,0.26585325929563763,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.0,0.3333333333333333,1.0,1.0,1.0
actg320,3,1.0,1.0,1.0,0.0,1.0,3,12,4.0,4.0,4.0,1.3333333333333333,1.5833333333333333,4.0,4.0,4.0,0.3802490587894585,0.275557486243846,0.15334491746307558,0.2291485664639444,0.18592528236316247,0.9669852302345786,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.1893939393939394,0.736111111111111,0.6250000000000001,0.8333333333333334,0.2911208151382824,0.39389913112310887,0.9101368363437329,0.5,1.0,0.22875303636760236,0.42584231856691895,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.3333333333333333,0.5,1.0,1.0,1.0
actg320,4,1.0,1.0,1.0,0.0,1.0,4,7,4.0,4.0,4.0,1.0,1.4285714285714286,4.0,4.0,4.0,0.40030408340573415,0.2797567332754127,0.15334491746307558,0.2291485664639444,0.18592528236316247,1.0,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.23809523809523808,0.736111111111111,0.6250000000000001,0.8333333333333334,0.33343173092849615,0.45373967030193374,0.9101368363437329,0.5,1.0,0.2994664103450093,0.5008314208469492,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.16666666666666666,0.5238095238095238,1.0,1.0,1.0
actg320,5,1.0,1.0,1.0,0.0,1.0,6,3,4.0,4.0,4.0,1.6666666666666667,1.3333333333333333,4.0,4.0,4.0,0.2344338256588473,0.4361424847958297,0.15334491746307558,0.2291485664639444,0.18592528236316247,0.8470894874022589,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.3333333333333333,0.736111111111111,0.6250000000000001,0.8333333333333334,0.21933388842246385,0.3333333333333333,0.9101368363437329,0.5,1.0,0.379442856307241,0.3260401775464094,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.4,0.3333333333333333,1.0,1.0,1.0
actg320,6,1.0,1.0,1.0,0.0,1.0,4,14,4.0,4.0,4.0,1.5,1.9285714285714288,4.0,4.0,4.0,0.34448305821025194,0.25964999379421616,0.15334491746307558,0.2291485664639444,0.18592528236316247,0.994787141615986,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.08333333333333333,0.26556776556776557,0.736111111111111,0.6250000000000001,0.8333333333333334,0.3260553129548763,0.47572167268445775,0.9101368363437329,0.5,1.0,0.3407289894307561,0.5934327619345234,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.3333333333333333,0.5384615384615384,1.0,1.0,1.0
actg320,7,1.0,1.0,1.0,0.0,1.0,4,7,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,0.35056472632493485,0.3004840511356584,0.15334491746307558,0.2291485664639444,0.18592528236316247,1.0,1.0,0.18679409209383144,0.4509122502172024,0.18592528236316247,0.0,0.0,0.736111111111111,0.6250000000000001,0.8333333333333334,0.3333333333333333,0.31474359609106956,0.9101368363437329,0.5,1.0,0.34294191678590963,0.254058482629726,0.8132059079061701,0.5490877497827933,0.8140747176368355,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0
