times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965753424657537,1.0,1.0,1.0,1.0,1.0,0.9545454545454544,1.0,1.0,0.9696969696969697,0.9846153846153846,1.0,1.0,1.0
5.0,0.9930413873506263,1.0,1.0,1.0,1.0,1.0,0.9068181818181816,1.0,1.0,0.9696969696969697,0.9846153846153846,1.0,1.0,1.0
6.0,0.989377027987709,1.0,0.9958677685950408,1.0,1.0,1.0,0.9068181818181816,1.0,1.0,0.9696969696969697,0.9846153846153846,1.0,1.0,1.0
7.0,0.9856007797892833,1.0,0.9958677685950408,1.0,1.0,1.0,0.856439393939394,1.0,1.0,0.9324009324009321,0.9670329670329668,0.9777777777777777,1.0,1.0
8.0,0.9816265830965845,0.9666666666666667,0.9958677685950408,0.9696969696969697,0.9600000000000003,0.9696969696969697,0.8029119318181819,0.9333333333333331,1.0,0.8900190718372533,0.9670329670329668,0.9777777777777777,0.9583333333333331,1.0
9.0,0.9816265830965845,0.9666666666666667,0.9958677685950408,0.9696969696969697,0.9600000000000003,0.9696969696969697,0.8029119318181819,0.9333333333333331,1.0,0.8900190718372533,0.9670329670329668,0.9777777777777777,0.9583333333333331,1.0
10.0,0.9771646440825088,0.9263888888888888,0.9958677685950408,0.9337822671156005,0.9120000000000003,0.9337822671156005,0.7493844696969696,0.9333333333333331,1.0,0.8900190718372533,0.9460105112279021,0.9506172839506172,0.9078947368421052,1.0
11.0,0.9725335320252454,0.882275132275132,0.9958677685950408,0.8931830381105745,0.8613333333333337,0.8931830381105745,0.6958570075757576,0.9333333333333331,1.0,0.8900190718372533,0.924510272336359,0.9226579520697166,0.8544891640866871,1.0
12.0,0.9725335320252454,0.882275132275132,0.9958677685950408,0.8931830381105745,0.8613333333333337,0.8931830381105745,0.6958570075757576,0.9333333333333331,1.0,0.8900190718372533,0.924510272336359,0.9226579520697166,0.8544891640866871,1.0
13.0,0.9673048571218831,0.882275132275132,0.989939984258166,0.8931830381105745,0.8613333333333337,0.8931830381105745,0.6958570075757576,0.9333333333333331,0.9859154929577468,0.8900190718372533,0.924510272336359,0.9226579520697166,0.8544891640866871,1.0
14.0,0.9560571262251175,0.882275132275132,0.9835118025422034,0.8931830381105745,0.8613333333333337,0.8931830381105745,0.6378689236111112,0.9333333333333331,0.9859154929577468,0.8900190718372533,0.9008048807379908,0.8919026870007261,0.8544891640866871,1.0
15.0,0.9560571262251175,0.882275132275132,0.9835118025422034,0.8931830381105745,0.8613333333333337,0.8931830381105745,0.6378689236111112,0.9333333333333331,0.9859154929577468,0.8900190718372533,0.9008048807379908,0.8919026870007261,0.8544891640866871,1.0
16.0,0.9427785550275465,0.8192554799697657,0.9758876800418761,0.8336375022365361,0.7830303030303035,0.8336375022365361,0.5740820312500001,0.7777777777777776,0.9859154929577468,0.8900190718372533,0.846210645541749,0.8175774630839989,0.7768083309878974,1.0
17.0,0.9356899944634294,0.8192554799697657,0.9758876800418761,0.8336375022365361,0.7830303030303035,0.8336375022365361,0.5102951388888888,0.7777777777777776,0.9859154929577468,0.8900190718372533,0.8170309681092747,0.7786452029371417,0.7768083309878974,1.0
18.0,0.9204755230087401,0.7282270933064581,0.9583041182393197,0.7502737520128825,0.6711688311688316,0.7502737520128825,0.5102951388888888,0.7777777777777776,0.9629872256796598,0.8900190718372533,0.7878512906768007,0.7397129427902845,0.6658357122753407,0.9722222222222221
19.0,0.9204755230087401,0.7282270933064581,0.9583041182393197,0.7502737520128825,0.6711688311688316,0.7502737520128825,0.5102951388888888,0.7777777777777776,0.9629872256796598,0.8900190718372533,0.7878512906768007,0.7397129427902845,0.6658357122753407,0.9722222222222221
20.0,0.9204755230087401,0.7282270933064581,0.9583041182393197,0.7502737520128825,0.6711688311688316,0.7502737520128825,0.5102951388888888,0.7777777777777776,0.9629872256796598,0.8900190718372533,0.7878512906768007,0.7397129427902845,0.6658357122753407,0.9722222222222221
21.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
22.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
23.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
24.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
25.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
27.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
28.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
29.0,0.9111777904530968,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.5102951388888888,0.3888888888888888,0.9629872256796598,0.791128063855336,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
30.0,0.8991886089997663,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.408236111111111,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
31.0,0.8866998783192139,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.2721574074074073,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
32.0,0.8866998783192139,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.2721574074074073,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
33.0,0.8866998783192139,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.2721574074074073,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
36.0,0.8866998783192139,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.2721574074074073,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
37.0,0.8866998783192139,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.2721574074074073,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
38.0,0.8866998783192139,0.5825816746451665,0.9476562947033271,0.625228126677402,0.4474458874458877,0.625228126677402,0.2721574074074073,0.3888888888888888,0.9629872256796598,0.6329024510842688,0.7878512906768007,0.7397129427902845,0.44389047485022703,0.9722222222222221
