times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965753424657537,1.0,1.0,0.9545454545454544,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.9767441860465118,1.0
5.0,0.9930413873506263,1.0,1.0,0.9068181818181816,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.9767441860465118,1.0
6.0,0.989377027987709,0.9958677685950408,1.0,0.9068181818181816,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.9767441860465118,1.0
7.0,0.9856007797892833,0.9958677685950408,1.0,0.856439393939394,1.0,0.9341517857142859,1.0,1.0,1.0,1.0,1.0,0.9454545454545454,1.0,1.0,0.9503456945317412,0.9777777777777777
8.0,0.9816265830965845,0.9958677685950408,0.9696969696969697,0.8029119318181819,0.95,0.9341517857142859,0.9666666666666667,0.9600000000000003,0.9696969696969697,0.9583333333333331,1.0,0.9139393939393939,0.9666666666666667,1.0,0.9503456945317412,0.9777777777777777
9.0,0.9816265830965845,0.9958677685950408,0.9696969696969697,0.8029119318181819,0.95,0.9341517857142859,0.9666666666666667,0.9600000000000003,0.9696969696969697,0.9583333333333331,1.0,0.9139393939393939,0.9666666666666667,1.0,0.9503456945317412,0.9777777777777777
10.0,0.9771646440825088,0.9958677685950408,0.9337822671156005,0.7493844696969696,0.9,0.8967857142857147,0.9263888888888888,0.9120000000000003,0.9337822671156005,0.9078947368421052,1.0,0.9139393939393939,0.9263888888888888,1.0,0.9223943505749251,0.9506172839506172
11.0,0.9725335320252454,0.9958677685950408,0.8931830381105745,0.6958570075757576,0.9,0.8594196428571432,0.882275132275132,0.8613333333333337,0.8931830381105745,0.8544891640866871,1.0,0.8758585858585857,0.882275132275132,1.0,0.8944430066181092,0.9226579520697166
12.0,0.9725335320252454,0.9958677685950408,0.8931830381105745,0.6958570075757576,0.9,0.8594196428571432,0.882275132275132,0.8613333333333337,0.8931830381105745,0.8544891640866871,1.0,0.8758585858585857,0.882275132275132,1.0,0.8944430066181092,0.9226579520697166
13.0,0.9673048571218831,0.989939984258166,0.8931830381105745,0.6958570075757576,0.9,0.8594196428571432,0.882275132275132,0.8613333333333337,0.8931830381105745,0.8544891640866871,1.0,0.8758585858585857,0.882275132275132,0.9859154929577468,0.8944430066181092,0.9226579520697166
14.0,0.9560571262251175,0.9835118025422034,0.8931830381105745,0.6378689236111112,0.8357142857142859,0.8184948979591838,0.882275132275132,0.8613333333333337,0.8931830381105745,0.8544891640866871,1.0,0.8758585858585857,0.882275132275132,0.9859154929577468,0.8624986135246054,0.8919026870007261
15.0,0.9560571262251175,0.9835118025422034,0.8931830381105745,0.6378689236111112,0.8357142857142859,0.8184948979591838,0.882275132275132,0.8613333333333337,0.8931830381105745,0.8544891640866871,1.0,0.8758585858585857,0.882275132275132,0.9859154929577468,0.8624986135246054,0.8919026870007261
16.0,0.9427785550275465,0.9758876800418761,0.8336375022365361,0.5740820312500001,0.8357142857142859,0.7730229591836738,0.8192554799697657,0.7830303030303035,0.8336375022365361,0.7768083309878974,1.0,0.827199775533109,0.8192554799697657,0.9859154929577468,0.8249986738061446,0.8175774630839989
17.0,0.9356899944634294,0.9758876800418761,0.8336375022365361,0.5102951388888888,0.8357142857142859,0.7214880952380954,0.8192554799697657,0.7830303030303035,0.8336375022365361,0.7768083309878974,1.0,0.827199775533109,0.8192554799697657,0.9859154929577468,0.7837487401158373,0.7786452029371417
18.0,0.9204755230087401,0.9583041182393197,0.7502737520128825,0.5102951388888888,0.8357142857142859,0.7214880952380954,0.7282270933064581,0.6711688311688316,0.7502737520128825,0.6658357122753407,0.9722222222222221,0.827199775533109,0.7282270933064581,0.9629872256796598,0.74249880642553,0.7397129427902845
