id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(op=0),complement,1.000000,0.000000,800.710106,1145.351831,1392.180952,376,901,525
R1,(stage-3=2.0),complement,1.000000,0.000000,864.432432,1145.351831,1282.793388,296,901,605
R2,(stage-2=3.0),complement,1.000000,0.000000,778.600000,1145.351831,1230.642955,170,901,731
R3,(cell-type=3.0),complement,1.000000,0.000000,797.635135,1145.351831,1213.694555,148,901,753
R4,(stage-4=1.0),complement,1.000000,0.000000,775.654054,1145.351831,1240.874302,185,901,716
R5,(stage-4=0.0),complement,1.000000,0.000000,1240.874302,1145.351831,775.654054,716,901,185
