times,population,R0,R1,R2,R3
0.0,1.0,1.0,1.0,1.0,1.0
11.0,0.9896373056994818,0.9767441860465118,1.0,0.8666666666666667,0.9696969696969697
15.0,0.9844559585492227,0.9534883720930234,1.0,0.8,0.9545454545454548
38.0,0.9792746113989639,0.9302325581395349,1.0,0.8,0.9545454545454548
74.0,0.9740932642487047,0.9302325581395349,1.0,0.8,0.9393939393939399
81.0,0.9689119170984457,0.9302325581395349,0.9929577464788732,0.7333333333333334,0.9242424242424246
89.0,0.9637305699481868,0.9069767441860465,0.9929577464788732,0.7333333333333334,0.9090909090909092
90.0,0.9637305699481868,0.9069767441860465,0.9929577464788732,0.7333333333333334,0.9090909090909092
94.0,0.9585212155160352,0.883720930232558,0.9929577464788732,0.7333333333333334,0.9090909090909092
99.0,0.94810250665173,0.8604651162790697,0.9858651911468815,0.7333333333333334,0.9090909090909092
105.0,0.9428931522195781,0.8372093023255813,0.9858651911468815,0.7333333333333334,0.9090909090909092
107.0,0.9376837977874255,0.8139534883720929,0.9858651911468815,0.7333333333333334,0.8939393939393945
112.0,0.9220557344909681,0.7674418604651163,0.9787726358148902,0.7333333333333334,0.8787878787878789
127.0,0.9168463800588157,0.7674418604651163,0.971680080482898,0.7333333333333334,0.8787878787878789
128.0,0.911637025626664,0.7441860465116279,0.971680080482898,0.7333333333333334,0.8787878787878789
130.0,0.9064276711945114,0.7209302325581396,0.971680080482898,0.7333333333333334,0.8636363636363641
134.0,0.9012183167623592,0.6976744186046513,0.971680080482898,0.7333333333333334,0.8636363636363641
144.0,0.8960089623302063,0.6976744186046513,0.971680080482898,0.6666666666666669,0.8484848484848492
147.0,0.8855902534659021,0.6511627906976744,0.971680080482898,0.6666666666666669,0.8333333333333338
154.0,0.8803808990337495,0.6511627906976744,0.9645875251509062,0.6000000000000001,0.8181818181818186
159.0,0.875171544601597,0.6511627906976744,0.9574949698189141,0.6000000000000001,0.8030303030303034
162.0,0.869962190169445,0.6511627906976744,0.9504024144869218,0.6000000000000001,0.8030303030303034
167.0,0.8647528357372928,0.6511627906976744,0.9504024144869218,0.6000000000000001,0.8030303030303034
