times,population,R0,R1,R2,R3,R4,R5,R6
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965753424657537,1.0,1.0,0.9696969696969697,1.0,1.0,0.9705882352941175,1.0
5.0,0.9930413873506263,1.0,1.0,0.9696969696969697,1.0,1.0,0.9705882352941175,1.0
6.0,0.989377027987709,1.0,1.0,0.9696969696969697,1.0,1.0,0.9705882352941175,1.0
7.0,0.9856007797892833,1.0,1.0,0.9324009324009321,1.0,1.0,0.9371196754563891,1.0
8.0,0.9816265830965845,0.9696969696969697,1.0,0.8900190718372533,1.0,1.0,0.9371196754563891,1.0
9.0,0.9816265830965845,0.9696969696969697,1.0,0.8900190718372533,1.0,1.0,0.9371196754563891,1.0
10.0,0.9771646440825088,0.9337822671156005,1.0,0.8900190718372533,1.0,0.9523809523809522,0.9371196754563891,1.0
11.0,0.9725335320252454,0.8931830381105745,1.0,0.8900190718372533,1.0,0.9047619047619045,0.8924949290060847,1.0
12.0,0.9725335320252454,0.8931830381105745,1.0,0.8900190718372533,1.0,0.9047619047619045,0.8924949290060847,1.0
13.0,0.9673048571218831,0.8931830381105745,1.0,0.8900190718372533,1.0,0.9047619047619045,0.8924949290060847,1.0
14.0,0.9560571262251175,0.8931830381105745,1.0,0.8900190718372533,1.0,0.8482142857142856,0.8924949290060847,0.9855072463768115
15.0,0.9560571262251175,0.8931830381105745,1.0,0.8900190718372533,1.0,0.8482142857142856,0.8924949290060847,0.9855072463768115
16.0,0.9427785550275465,0.8336375022365361,1.0,0.8900190718372533,1.0,0.7829670329670328,0.8429118773946358,0.9855072463768115
17.0,0.9356899944634294,0.8336375022365361,1.0,0.8900190718372533,1.0,0.7829670329670328,0.8429118773946358,0.9855072463768115
18.0,0.9204755230087401,0.7502737520128825,1.0,0.8900190718372533,1.0,0.7829670329670328,0.8429118773946358,0.9672571121846484
19.0,0.9204755230087401,0.7502737520128825,1.0,0.8900190718372533,1.0,0.7829670329670328,0.8429118773946358,0.9672571121846484
20.0,0.9204755230087401,0.7502737520128825,1.0,0.8900190718372533,1.0,0.7829670329670328,0.8429118773946358,0.9672571121846484
21.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
22.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
23.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
24.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
25.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
27.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
28.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
29.0,0.9111777904530968,0.625228126677402,1.0,0.791128063855336,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
30.0,0.8991886089997663,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
31.0,0.8866998783192139,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
32.0,0.8866998783192139,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
33.0,0.8866998783192139,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
36.0,0.8866998783192139,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
37.0,0.8866998783192139,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
38.0,0.8866998783192139,0.625228126677402,1.0,0.6329024510842688,1.0,0.7829670329670328,0.7224958949096878,0.9672571121846484
