times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,1.0,1.0,0.962962962962963,0.9827586206896555,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9807692307692305
289.0,0.9846938775510209,1.0,1.0,0.962962962962963,0.9827586206896555,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9615384615384612
394.0,0.9795918367346942,1.0,1.0,0.962962962962963,0.9827586206896555,1.0,0.9545454545454544,1.0,1.0,0.9591836734693877,0.96875,0.9615384615384612
404.0,0.9744897959183678,1.0,1.0,0.9259259259259257,0.9827586206896555,1.0,0.9545454545454544,1.0,1.0,0.9387755102040818,0.96875,0.9615384615384612
421.0,0.9693877551020412,1.0,1.0,0.888888888888889,0.9827586206896555,1.0,0.9090909090909087,1.0,1.0,0.9387755102040818,0.96875,0.942307692307692
434.0,0.9642857142857149,1.0,1.0,0.888888888888889,0.9827586206896555,1.0,0.9090909090909087,1.0,1.0,0.9387755102040818,0.96875,0.9230769230769231
524.0,0.9591836734693882,1.0,1.0,0.888888888888889,0.9827586206896555,1.0,0.8636363636363633,1.0,1.0,0.9183673469387755,0.9375000000000001,0.9038461538461535
528.0,0.9540816326530618,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.8636363636363633,1.0,1.0,0.8979591836734694,0.9375000000000001,0.9038461538461535
530.0,0.9489795918367355,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.8636363636363633,1.0,1.0,0.8979591836734694,0.9375000000000001,0.8846153846153845
649.0,0.9438775510204082,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.8181818181818179,0.9523809523809522,1.0,0.8775510204081634,0.9062500000000001,0.8846153846153845
690.0,0.9387755102040822,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.8181818181818179,0.9523809523809522,1.0,0.8775510204081634,0.9062500000000001,0.8653846153846151
723.0,0.9336734693877559,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.8181818181818179,0.9523809523809522,1.0,0.8775510204081634,0.8749999999999999,0.8653846153846151
730.0,0.9285714285714287,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.8181818181818179,0.9523809523809522,1.0,0.8775510204081634,0.8749999999999999,0.8461538461538459
794.0,0.9234693877551027,1.0,1.0,0.8518518518518517,0.9827586206896555,1.0,0.7727272727272726,0.9523809523809522,1.0,0.8571428571428573,0.8749999999999999,0.8269230769230768
796.0,0.918367346938776,1.0,1.0,0.8518518518518517,0.9655172413793109,1.0,0.7727272727272726,0.9523809523809522,1.0,0.8571428571428573,0.8749999999999999,0.8269230769230768
803.0,0.9132653061224493,1.0,1.0,0.814814814814815,0.9655172413793109,1.0,0.7727272727272726,0.9523809523809522,1.0,0.8367346938775513,0.8749999999999999,0.8269230769230768
805.0,0.9081632653061227,1.0,1.0,0.7777777777777778,0.9655172413793109,1.0,0.7727272727272726,0.9523809523809522,1.0,0.8367346938775513,0.8749999999999999,0.8269230769230768
880.0,0.903061224489796,1.0,1.0,0.7407407407407406,0.948275862068966,1.0,0.7727272727272726,0.9523809523809522,1.0,0.816326530612245,0.8749999999999999,0.8269230769230768
910.0,0.8979591836734694,1.0,1.0,0.7407407407407406,0.948275862068966,1.0,0.7727272727272726,0.9523809523809522,1.0,0.816326530612245,0.84375,0.8269230769230768
958.0,0.8979591836734694,1.0,1.0,0.7407407407407406,0.948275862068966,1.0,0.7727272727272726,0.9523809523809522,1.0,0.816326530612245,0.84375,0.8269230769230768
994.0,0.8928279883381921,1.0,1.0,0.7037037037037035,0.948275862068966,1.0,0.7727272727272726,0.9523809523809522,1.0,0.7959183673469388,0.8125000000000001,0.8269230769230768
1023.0,0.8876967930029154,1.0,1.0,0.7037037037037035,0.948275862068966,1.0,0.7727272727272726,0.9523809523809522,1.0,0.7755102040816326,0.8125000000000001,0.8269230769230768
1104.0,0.8876967930029154,1.0,1.0,0.7037037037037035,0.948275862068966,1.0,0.7727272727272726,0.9523809523809522,1.0,0.7755102040816326,0.8125000000000001,0.8269230769230768
1112.0,0.88253576513662,1.0,1.0,0.7037037037037035,0.948275862068966,1.0,0.7272727272727271,0.9523809523809522,1.0,0.7551020408163266,0.7812499999999999,0.8269230769230768
1136.0,0.8773747372703239,1.0,1.0,0.7037037037037035,0.948275862068966,1.0,0.7272727272727271,0.9523809523809522,1.0,0.7346938775510204,0.7812499999999999,0.8269230769230768
1171.0,0.8722137094040276,1.0,1.0,0.6666666666666665,0.948275862068966,1.0,0.7272727272727271,0.9523809523809522,1.0,0.7346938775510204,0.7812499999999999,0.8076923076923076
1206.0,0.8670526815377314,1.0,1.0,0.6666666666666665,0.948275862068966,1.0,0.7272727272727271,0.9523809523809522,1.0,0.7142857142857143,0.7500000000000001,0.8076923076923076
1215.0,0.8670526815377314,1.0,1.0,0.6666666666666665,0.948275862068966,1.0,0.7272727272727271,0.9523809523809522,1.0,0.7142857142857143,0.7500000000000001,0.8076923076923076
1233.0,0.8618607493129546,1.0,1.0,0.6666666666666665,0.948275862068966,1.0,0.6818181818181817,0.9523809523809522,1.0,0.7142857142857143,0.7500000000000001,0.8076923076923076
1259.0,0.8566688170881772,1.0,1.0,0.6296296296296297,0.948275862068966,0.975,0.6818181818181817,0.9523809523809522,1.0,0.7142857142857143,0.71875,0.7884615384615384
1290.0,0.8566688170881772,1.0,1.0,0.6296296296296297,0.948275862068966,0.975,0.6818181818181817,0.9523809523809522,1.0,0.7142857142857143,0.71875,0.7884615384615384
1554.0,0.8566688170881772,1.0,1.0,0.6296296296296297,0.948275862068966,0.975,0.6818181818181817,0.9523809523809522,1.0,0.7142857142857143,0.71875,0.7884615384615384
1591.0,0.8566688170881772,1.0,1.0,0.6296296296296297,0.948275862068966,0.975,0.6818181818181817,0.9523809523809522,1.0,0.7142857142857143,0.71875,0.7884615384615384
1598.0,0.8513807379703494,1.0,0.9615384615384612,0.6296296296296297,0.948275862068966,0.95,0.6818181818181817,0.9523809523809522,1.0,0.7142857142857143,0.6875000000000001,0.7884615384615384
1693.0,0.8460926588525208,1.0,0.9615384615384612,0.6296296296296297,0.948275862068966,0.95,0.6818181818181817,0.9523809523809522,1.0,0.6926406926406926,0.6875000000000001,0.7687499999999999
1703.0,0.8460926588525208,1.0,0.9615384615384612,0.6296296296296297,0.948275862068966,0.95,0.6818181818181817,0.9523809523809522,1.0,0.6926406926406926,0.6875000000000001,0.7687499999999999
1721.0,0.840771321375461,1.0,0.9615384615384612,0.6296296296296297,0.948275862068966,0.95,0.6818181818181817,0.9523809523809522,1.0,0.6926406926406926,0.6875000000000001,0.7490384615384614
1731.0,0.8354499838984007,1.0,0.9615384615384612,0.6296296296296297,0.931034482758621,0.95,0.6818181818181817,0.9523809523809522,1.0,0.6702974444909929,0.6875000000000001,0.7490384615384614
