id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(size={'[1.00,2.00)'})",population,0.993725,0.006275,4526.034483,3935.316327,3687.043478,58,196,138
R1,"(er={'positive'}) & (X217767_at={'[12.00,12.00]'}) & (X202418_at={'[10.00,10.00)'})",population,0.977619,0.022381,4581.465517,3935.316327,3663.746377,58,196,138
R2,"(er={'positive'}) & (X219588_s_at={'[7.00,8.00)'})",population,0.994309,0.005691,4747.075000,3935.316327,3727.173077,40,196,156
R3,"(age={'[44.00,48.00)'}) & (X221928_at={'[6.00,7.00]'})",population,0.984704,0.015296,4613.600000,3935.316327,3858.238636,20,196,176
R4,"(X203306_s_at={'[9.00,9.00)'}) & (X204740_at={'[7.00,8.00)'})",population,0.995316,0.004684,3253.782609,3935.316327,4025.924855,23,196,173
R5,"(X211762_s_at={'[10.00,11.00]'}) & (X217102_at={'[6.00,6.00]'})",population,0.997678,0.002322,3506.666667,3935.316327,4022.098160,33,196,163
R6,"(X201664_at={'[9.00,10.00]'}) & (X221882_s_at={'[8.00,9.00]'}) & (X221816_s_at={'[10.00,10.00)'})",population,0.986595,0.013405,3147.928571,3935.316327,4066.547619,28,196,168
R7,"(X221916_at={'[6.00,6.00]'}) & (X203306_s_at={'[9.00,10.00]'}) & (X203391_at={'[10.00,10.00]'}) & (X204740_at={'[8.00,8.00]'})",population,0.970023,0.029977,4681.275862,3935.316327,3805.778443,29,196,167
R8,"(X218914_at={'[8.00,8.00)'}) & (er={'negative'}) & (X221344_at={'[6.00,6.00)'}) & (X212014_x_at={'[10.00,10.00]'})",population,0.998189,0.001811,2715.809524,3935.316327,4081.657143,21,196,175
