id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(sex={'1'}) & (ph-karno={'[70.00,80.00)'})",population,0.999012,0.000988,196.294118,310.047619,322.854305,17,168,151
R1,"(pat-karno={'[30.00,70.00)'})",population,0.997085,0.002915,220.000000,310.047619,329.623188,30,168,138
R2,"(age={'[71.00,82.00]'}) & (sex={'1'})",population,0.988089,0.011911,229.000000,310.047619,322.903448,23,168,145
R3,"(pat-karno={'[90.00,90.00]'}) & (sex={'2'})",population,0.974147,0.025853,349.966667,310.047619,301.369565,30,168,138
