id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(sb={'[2.00,4.00]'})",population,1.000000,0.000000,1170.919355,1979.166667,2213.331776,62,276,214
R1,"(sb={'[0.00,0.00)'})",population,0.999997,0.000003,2546.272727,1979.166667,1713.712766,88,276,188
R2,(spiders={'yes'}) & (hist-stage={'4'}),population,0.999999,0.000001,1269.204545,1979.166667,2113.814655,44,276,232
R3,"(hp={'no'}) & (albumin={'[3.00,3.00]'})",population,0.999234,0.000766,2338.503937,1979.166667,1672.885906,127,276,149
R4,"(spiders={'no'}) & (ascites={'no'}) & (sex={'female'}) & (albumin={'[3.00,3.00]'})",population,0.999683,0.000317,2308.423841,1979.166667,1581.424000,151,276,125
