id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(tgrade={'I'}),population,0.999712,0.000288,1331.790123,1124.489796,1096.735537,81,686,605
R1,"(pnodes={'[4.00,8.00]'})",population,1.000000,0.000000,834.720280,1124.489796,1200.801105,143,686,543
R2,"(tsize={'[3.00,20.00)'})",population,0.997828,0.002172,1311.481481,1124.489796,1078.675136,135,686,551
R3,"(progrec={'[0.00,3.00)', '[3.00,20.00)'})",population,0.999994,0.000006,932.557621,1124.489796,1248.302158,269,686,417
R4,"(pnodes={'[1.00,2.00)'})",population,0.999560,0.000440,1325.571429,1124.489796,1048.022133,189,686,497
R5,"(horTh={'no'}) & (pnodes={'[2.00,4.00)'})",population,0.995955,0.004045,918.669903,1124.489796,1160.852487,103,686,583
