id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(age={'[83.00,104.00]'})",population,1.000000,0.000000,559.716814,882.436000,976.666667,113,500,387
R1,"(bmi={'[13.00,22.00)'})",population,1.000000,0.000000,603.815217,882.436000,945.262255,92,500,408
R2,"(hr={'[106.00,186.00]'})",population,0.999967,0.000033,618.862745,882.436000,949.984925,102,500,398
R3,"(age={'[30.00,56.00)'})",population,1.000000,0.000000,1139.851064,882.436000,822.837438,94,500,406
R4,(mitype={'1'}) & (chf={'0'}) & (sho={'0'}) & (afb={'0'}) & (gender={'0'}),population,0.999998,0.000002,1238.675676,882.436000,820.553991,74,500,426
R5,(chf={'0'}) & (afb={'0'}) & (sho={'0'}) & (av3={'0'}),population,0.999989,0.000011,1042.227891,882.436000,654.383495,294,500,206
