id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(stage-4={'1.0'}),population,1.000000,0.000000,775.654054,1145.351831,1240.874302,185,901,716
R1,(stage-1={'3.0'}),population,1.000000,0.000000,835.796339,1145.351831,1436.894397,437,901,464
R2,(detec={'1'}) & (cell-type={'1.0'}),population,0.999691,0.000309,1399.719577,1145.351831,1077.830056,189,901,712
R3,(stage-4={'0.0'}) & (op={'1'}),population,1.000000,0.000000,1402.093204,1145.351831,802.808290,515,901,386
