times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,1.0,0.9827586206896555,1.0,1.0,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289.0,0.9846938775510209,1.0,0.9827586206896555,1.0,1.0,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394.0,0.9795918367346942,1.0,0.9827586206896555,1.0,1.0,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
404.0,0.9744897959183678,1.0,0.9827586206896555,1.0,1.0,0.9259259259259257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
421.0,0.9693877551020412,1.0,0.9827586206896555,1.0,1.0,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
434.0,0.9642857142857149,1.0,0.9827586206896555,1.0,1.0,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
524.0,0.9591836734693882,1.0,0.9827586206896555,1.0,1.0,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
528.0,0.9540816326530618,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
530.0,0.9489795918367355,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
649.0,0.9438775510204082,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553193,1.0,1.0
690.0,0.9387755102040822,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553193,1.0,1.0
723.0,0.9336734693877559,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553193,1.0,1.0
730.0,0.9285714285714287,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,0.9574468085106383,1.0,1.0
794.0,0.9234693877551027,1.0,0.9827586206896555,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,1.0,0.9574468085106383,1.0,1.0
796.0,0.918367346938776,1.0,0.9655172413793109,1.0,1.0,0.8518518518518517,1.0,1.0,1.0,1.0,1.0,0.9714285714285718,0.9574468085106383,1.0,1.0
803.0,0.9132653061224493,1.0,0.9655172413793109,1.0,1.0,0.814814814814815,1.0,1.0,1.0,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
805.0,0.9081632653061227,1.0,0.9655172413793109,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
880.0,0.903061224489796,1.0,0.948275862068966,1.0,1.0,0.7407407407407406,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
910.0,0.8979591836734694,1.0,0.948275862068966,1.0,1.0,0.7407407407407406,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
958.0,0.8979591836734694,1.0,0.948275862068966,1.0,1.0,0.7407407407407406,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
994.0,0.8928279883381921,1.0,0.948275862068966,1.0,1.0,0.7037037037037035,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1023.0,0.8876967930029154,1.0,0.948275862068966,1.0,1.0,0.7037037037037035,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1104.0,0.8876967930029154,1.0,0.948275862068966,1.0,1.0,0.7037037037037035,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1112.0,0.88253576513662,1.0,0.948275862068966,1.0,1.0,0.7037037037037035,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1136.0,0.8773747372703239,1.0,0.948275862068966,1.0,1.0,0.7037037037037035,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1171.0,0.8722137094040276,1.0,0.948275862068966,1.0,1.0,0.6666666666666665,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1206.0,0.8670526815377314,1.0,0.948275862068966,1.0,1.0,0.6666666666666665,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1215.0,0.8670526815377314,1.0,0.948275862068966,1.0,1.0,0.6666666666666665,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1233.0,0.8618607493129546,1.0,0.948275862068966,1.0,1.0,0.6666666666666665,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1259.0,0.8566688170881772,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1290.0,0.8566688170881772,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1554.0,0.8566688170881772,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1591.0,0.8566688170881772,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,1.0,0.9767441860465118,0.9714285714285718,0.9574468085106383,1.0,1.0
1598.0,0.8513807379703494,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,0.9615384615384612,0.952325581395349,0.9714285714285718,0.9574468085106383,1.0,1.0
1693.0,0.8460926588525208,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,0.9615384615384612,0.952325581395349,0.9714285714285718,0.9574468085106383,1.0,1.0
1703.0,0.8460926588525208,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,0.9615384615384612,0.952325581395349,0.9714285714285718,0.9574468085106383,1.0,1.0
1721.0,0.840771321375461,1.0,0.948275862068966,1.0,1.0,0.6296296296296297,1.0,1.0,0.9772727272727274,0.9615384615384612,0.952325581395349,0.9714285714285718,0.9574468085106383,1.0,1.0
1731.0,0.8354499838984007,1.0,0.931034482758621,1.0,1.0,0.6296296296296297,1.0,1.0,0.9545454545454548,0.9615384615384612,0.952325581395349,0.9714285714285718,0.9574468085106383,1.0,1.0
