times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9991311902693312,0.9977220956719819,1.0,0.9973118279569895,1.0,0.9954337899543376,0.9955947136563877,0.9956331877729258,1.0,0.9954545454545451,0.9971988795518211,1.0,1.0,0.9945355191256824,1.0,0.9949748743718594,1.0,1.0,0.994949494949495
2.0,0.9982608669328604,0.9977220956719819,1.0,0.9973118279569895,0.9974683544303797,0.9954337899543376,0.9955947136563877,0.9956331877729258,1.0,0.9954545454545451,0.9971988795518211,1.0,1.0,0.9945355191256824,1.0,0.9949748743718594,1.0,1.0,0.994949494949495
3.0,0.9982608669328604,0.9977220956719819,1.0,0.9973118279569895,0.9974683544303797,0.9954337899543376,0.9955947136563877,0.9956331877729258,1.0,0.9954545454545451,0.9971988795518211,1.0,1.0,0.9945355191256824,1.0,0.9949748743718594,1.0,1.0,0.994949494949495
4.0,0.9982608669328604,0.9977220956719819,1.0,0.9973118279569895,0.9974683544303797,0.9954337899543376,0.9955947136563877,0.9956331877729258,1.0,0.9954545454545451,0.9971988795518211,1.0,1.0,0.9945355191256824,1.0,0.9949748743718594,1.0,1.0,0.994949494949495
7.0,0.9956430499741206,0.9931558618245131,1.0,0.991935483870968,0.9898540921828197,0.9908675799086758,0.9867841409691624,0.9868995633187774,1.0,0.9909090909090903,0.9943977591036419,1.0,1.0,0.989071038251366,1.0,0.9849246231155776,1.0,1.0,0.9848484848484849
9.0,0.9947704443212075,0.9908727449007788,1.0,0.9892473118279577,0.9898540921828197,0.9863013698630139,0.9867841409691624,0.9868995633187774,1.0,0.9863636363636361,0.9915966386554623,1.0,1.0,0.9836065573770488,1.0,0.9849246231155776,1.0,1.0,0.9848484848484849
10.0,0.9947704443212075,0.9908727449007788,1.0,0.9892473118279577,0.9898540921828197,0.9863013698630139,0.9867841409691624,0.9868995633187774,1.0,0.9863636363636361,0.9915966386554623,1.0,1.0,0.9836065573770488,1.0,0.9849246231155776,1.0,1.0,0.9848484848484849
11.0,0.9947704443212075,0.9908727449007788,1.0,0.9892473118279577,0.9898540921828197,0.9863013698630139,0.9867841409691624,0.9868995633187774,1.0,0.9863636363636361,0.9915966386554623,1.0,1.0,0.9836065573770488,1.0,0.9849246231155776,1.0,1.0,0.9848484848484849
13.0,0.9930221658601864,0.9908727449007788,0.9955752212389377,0.9892473118279577,0.9873094801206537,0.9863013698630139,0.9867841409691624,0.9868995633187774,1.0,0.9863636363636361,0.9915966386554623,0.9971751412429378,1.0,0.9836065573770488,1.0,0.9849246231155776,0.9971671388101983,0.9954337899543376,0.9848484848484849
14.0,0.9903997481686541,0.984007575767517,0.9955752212389377,0.9838563183030092,0.9873094801206537,0.981713921631093,0.9735090179964835,0.9737409024745268,1.0,0.9817971380471371,0.9859785273882924,0.9971751412429378,0.9944751381215466,0.9781115486766183,1.0,0.974822832109264,0.9971671388101983,0.9954337899543376,0.9746954076850983
15.0,0.9895256089381435,0.9817191860564299,0.9955752212389377,0.9811608215405352,0.9873094801206537,0.9771264733991726,0.9690839770055901,0.9693546821931098,1.0,0.9772306397306388,0.9831694717547075,0.9971751412429378,0.9944751381215466,0.9726165399761877,1.0,0.9697719366061072,0.9971671388101983,0.9954337899543376,0.9696188691034052
16.0,0.9886514697076328,0.9794307963453425,0.9955752212389377,0.978465324778061,0.9873094801206537,0.9725390251672511,0.9646589360146967,0.9649684619116938,1.0,0.9726641414141411,0.9803604161211229,0.9971751412429378,0.9944751381215466,0.9671215312757572,1.0,0.9647210411029504,0.9971671388101983,0.9954337899543376,0.9645423305217119
17.0,0.9877773304771212,0.9771424066342557,0.9955752212389377,0.9757698280155878,0.9873094801206537,0.9725390251672511,0.9602338950238039,0.9605822416302767,1.0,0.9726641414141411,0.9775513604875383,0.9971751412429378,0.9889502762430935,0.9671215312757572,1.0,0.9596701455997936,0.9971671388101983,0.9954337899543376,0.9594657919400189
18.0,0.9851502631088308,0.9725656272120813,0.9955752212389377,0.9703788344906394,0.9847516835400304,0.9725390251672511,0.9558088540329109,0.9561960213488596,1.0,0.9726641414141411,0.9719332492203688,0.9971751412429378,0.9834254143646405,0.9671215312757572,0.9915254237288134,0.954619250096637,0.9971671388101983,0.9954337899543376,0.9543892533583255
19.0,0.9851502631088308,0.9725656272120813,0.9955752212389377,0.9703788344906394,0.9847516835400304,0.9725390251672511,0.9558088540329109,0.9561960213488596,1.0,0.9726641414141411,0.9719332492203688,0.9971751412429378,0.9834254143646405,0.9671215312757572,0.9915254237288134,0.954619250096637,0.9971671388101983,0.9954337899543376,0.9543892533583255
20.0,0.983397326697605,0.9702772375009937,0.9955752212389377,0.9676833377281651,0.9847516835400304,0.9725390251672511,0.9513838130420171,0.9518098010674432,1.0,0.9726641414141411,0.9691241935867839,0.9971751412429378,0.9723756906077341,0.9671215312757572,0.9915254237288134,0.94956835459348,0.9971671388101983,0.9954337899543376,0.9493127147766325
24.0,0.9825208584919924,0.9702772375009937,0.9955752212389377,0.9676833377281651,0.9847516835400304,0.9725390251672511,0.9513838130420171,0.9518098010674432,1.0,0.9726641414141411,0.9691241935867839,0.9971751412429378,0.9723756906077341,0.9671215312757572,0.9915254237288134,0.94956835459348,0.9971671388101983,0.9954337899543376,0.9493127147766325
25.0,0.9807679220807666,0.967988847789906,0.9955752212389377,0.9649878409656913,0.9847516835400304,0.9725390251672511,0.9513838130420171,0.9518098010674432,1.0,0.9726641414141411,0.9663151379531983,0.9971751412429378,0.9668508287292819,0.9671215312757572,0.9915254237288134,0.94956835459348,0.9971671388101983,0.9954337899543376,0.9493127147766325
