times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965753424657537,1.0,1.0,0.9767441860465118,1.0,1.0,0.9846153846153846,0.9814814814814815,1.0,1.0,1.0
5.0,0.9930413873506263,1.0,1.0,0.9767441860465118,1.0,1.0,0.9846153846153846,0.9814814814814815,1.0,1.0,1.0
6.0,0.989377027987709,1.0,1.0,0.9767441860465118,1.0,1.0,0.9846153846153846,0.9814814814814815,1.0,1.0,1.0
7.0,0.9856007797892833,1.0,1.0,0.9503456945317412,1.0,1.0,0.9670329670329668,0.9605988967691097,1.0,1.0,0.9777777777777777
8.0,0.9816265830965845,0.9666666666666667,0.9696969696969697,0.9503456945317412,0.9666666666666667,1.0,0.9670329670329668,0.9605988967691097,1.0,0.9696969696969697,0.9777777777777777
9.0,0.9816265830965845,0.9666666666666667,0.9696969696969697,0.9503456945317412,0.9666666666666667,1.0,0.9670329670329668,0.9605988967691097,1.0,0.9696969696969697,0.9777777777777777
10.0,0.9771646440825088,0.9263888888888888,0.9337822671156005,0.9223943505749251,0.9263888888888888,1.0,0.9460105112279021,0.9353199784330806,1.0,0.9337822671156005,0.9506172839506172
11.0,0.9725335320252454,0.882275132275132,0.8931830381105745,0.8944430066181092,0.882275132275132,1.0,0.924510272336359,0.9100410600970513,1.0,0.8931830381105745,0.9226579520697166
12.0,0.9725335320252454,0.882275132275132,0.8931830381105745,0.8944430066181092,0.882275132275132,1.0,0.924510272336359,0.9100410600970513,1.0,0.8931830381105745,0.9226579520697166
13.0,0.9673048571218831,0.882275132275132,0.8931830381105745,0.8944430066181092,0.882275132275132,1.0,0.924510272336359,0.9100410600970513,0.9868421052631576,0.8931830381105745,0.9226579520697166
14.0,0.9560571262251175,0.882275132275132,0.8931830381105745,0.8624986135246054,0.882275132275132,1.0,0.9008048807379908,0.883275146564785,0.9868421052631576,0.8931830381105745,0.8919026870007261
15.0,0.9560571262251175,0.882275132275132,0.8931830381105745,0.8624986135246054,0.882275132275132,1.0,0.9008048807379908,0.883275146564785,0.9868421052631576,0.8931830381105745,0.8919026870007261
16.0,0.9427785550275465,0.8192554799697657,0.8336375022365361,0.8249986738061446,0.8192554799697657,1.0,0.846210645541749,0.8223596192154894,0.9868421052631576,0.8336375022365361,0.8175774630839989
17.0,0.9356899944634294,0.8192554799697657,0.8336375022365361,0.7837487401158373,0.8192554799697657,1.0,0.8170309681092747,0.7894652344468701,0.9868421052631576,0.8336375022365361,0.7786452029371417
18.0,0.9204755230087401,0.7282270933064581,0.7502737520128825,0.74249880642553,0.7282270933064581,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.7502737520128825,0.7397129427902845
19.0,0.9204755230087401,0.7282270933064581,0.7502737520128825,0.74249880642553,0.7282270933064581,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.7502737520128825,0.7397129427902845
20.0,0.9204755230087401,0.7282270933064581,0.7502737520128825,0.74249880642553,0.7282270933064581,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.7502737520128825,0.7397129427902845
21.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
22.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
23.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
24.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
25.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
27.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
28.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
29.0,0.9111777904530968,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
30.0,0.8991886089997663,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
31.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
32.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
33.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
36.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
37.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
38.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
39.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
40.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
41.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
42.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
43.0,0.8866998783192139,0.5825816746451665,0.625228126677402,0.74249880642553,0.5825816746451665,0.9722222222222221,0.7878512906768007,0.7565708496782504,0.9868421052631576,0.625228126677402,0.7397129427902845
