quality,subgroup,size_sg,size_dataset,mean_sg,mean_dataset,std_sg,std_dataset,median_sg,median_dataset,max_sg,max_dataset,min_sg,min_dataset,mean_lift,median_lift
1.0,"ivhx=='3' AND los=='[3.00,34.80)' AND race=='0' AND site=='0'",36.0,575.0,58.361111111111114,241.56521739130434,77.2633134078874,199.99466646952635,29.0,170.0,399.0,1172.0,4.0,4.0,0.24159567234621232,0.17058823529411765
1.0,"ivhx=='3' AND los=='[3.00,34.80)' AND race=='0'",45.0,575.0,52.75555555555555,241.56521739130434,70.78265812582927,199.99466646952635,29.0,170.0,399.0,1172.0,4.0,4.0,0.21839052875769938,0.17058823529411765
1.0,"ivhx=='3' AND los=='[3.00,34.80)'",53.0,575.0,61.924528301886795,241.56521739130434,81.94702592980276,199.99466646952635,30.0,170.0,399.0,1172.0,4.0,4.0,0.2563470394066588,0.17647058823529413
1.0,"ivhx=='3' AND los=='[3.00,34.80)' AND site=='0'",41.0,575.0,63.707317073170735,241.56521739130434,76.06263269702085,199.99466646952635,30.0,170.0,399.0,1172.0,4.0,4.0,0.26372719450736626,0.17647058823529413
1.0,"los=='[3.00,34.80)'",115.0,575.0,120.04347826086956,241.56521739130434,172.73887764128625,199.99466646952635,38.0,170.0,659.0,1172.0,4.0,4.0,0.49694024478041754,0.2235294117647059
1.0,"los=='[3.00,34.80)' AND race=='0' AND site=='0'",64.0,575.0,106.015625,241.56521739130434,163.37165185814635,199.99466646952635,31.5,170.0,659.0,1172.0,4.0,4.0,0.4388695779337653,0.18529411764705883
1.0,"los=='[3.00,34.80)' AND race=='0'",89.0,575.0,101.69662921348315,241.56521739130434,161.51581162340773,199.99466646952635,33.0,170.0,659.0,1172.0,4.0,4.0,0.42099036571456305,0.19411764705882353
1.0,"ivhx=='3' AND los=='[3.00,34.80)' AND treatment=='0'",30.0,575.0,56.833333333333336,241.56521739130434,78.88095813030897,199.99466646952635,27.0,170.0,399.0,1172.0,7.0,4.0,0.23527117830573555,0.1588235294117647
