id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(ptime={'[1.00,27.00)'})",complement,1.000000,0.000000,11.796226,94.779522,115.273998,265,1338,1073
R1,"(age={'[81.00,96.00]'})",complement,1.000000,0.000000,56.543478,94.779522,104.716573,276,1338,1062
R2,"(ptime={'[151.00,424.00]'})",complement,1.000000,0.000000,205.171004,94.779522,67.000935,269,1338,1069
R3,"(ptime={'[27.00,64.00)'})",complement,1.000000,0.000000,49.392453,94.779522,105.988816,265,1338,1073
R4,"(age={'[61.00,69.00)'})",complement,1.000000,0.000000,117.200000,94.779522,89.371985,260,1338,1078
R5,"(age={'[24.00,61.00)'})",complement,1.000000,0.000000,136.904762,94.779522,85.004604,252,1338,1086
R6,"(ptime={'[98.00,151.00)'}) & (pstat={'0'})",complement,1.000000,0.000000,120.968379,94.779522,88.672811,253,1338,1085
R7,"(creat={'[0.00,1.00]'})",complement,0.999110,0.000890,90.590576,94.779522,105.224543,955,1338,383
