id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(age={'[74.00,87.00]'})",complement,1.000000,0.000000,2673.717949,5390.130682,6163.416058,39,176,137
R1,"(hgb={'[11.00,12.00)'}) & (creat={'[0.00,0.00]'})",complement,0.999339,0.000661,2861.923077,5390.130682,5591.766871,13,176,163
R2,"(hgb={'[7.00,11.00)'})",complement,0.965195,0.034805,3349.000000,5390.130682,5566.524691,14,176,162
R3,"(age={'[66.00,74.00)'})",complement,0.993573,0.006427,4311.789474,5390.130682,5687.065217,38,176,138
R4,"(age={'[34.00,53.00)'})",complement,1.000000,0.000000,8671.933333,5390.130682,4715.787671,30,176,146
R5,"(alb={'[2.00,3.00)'}) & (mspike={'[1.00,1.00]'})",complement,0.999988,0.000012,1889.777778,5390.130682,5578.772455,9,176,167
R6,"(age={'[53.00,59.00)'}) & (hgb={'[13.00,14.00)'})",complement,0.992857,0.007143,10266.777778,5390.130682,5127.317365,9,176,167
R7,"(alb={'[3.00,3.00]'})",complement,0.997559,0.002441,5906.641221,5390.130682,3886.511111,131,176,45
