id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(stage-1={'3.0'}),complement,1.000000,0.000000,835.796339,1145.351831,1436.894397,437,901,464
R1,(op={'0'}),complement,1.000000,0.000000,800.710106,1145.351831,1392.180952,376,901,525
R2,(stage-3={'1.0'}) & (stage-2={'2.0'}),complement,0.999979,0.000021,816.571429,1145.351831,1176.075243,77,901,824
R3,(detec={'1'}) & (cell-type={'1.0'}),complement,0.999996,0.000004,1399.719577,1145.351831,1077.830056,189,901,712
R4,(stage-4={'0.0'}),complement,1.000000,0.000000,1240.874302,1145.351831,775.654054,716,901,185
