id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(stage-4={'1.0'}),complement,1.000000,0.000000,775.654054,1145.351831,1240.874302,185,901,716
R1,(stage-1={'3.0'}),complement,1.000000,0.000000,835.796339,1145.351831,1436.894397,437,901,464
R2,(op={'0'}),complement,1.000000,0.000000,800.710106,1145.351831,1392.180952,376,901,525
R3,(stage-2={'2.0'}) & (stage-3={'1.0'}),complement,0.999979,0.000021,816.571429,1145.351831,1176.075243,77,901,824
R4,(cell-type={'1.0'}),complement,0.998782,0.001218,1305.463816,1145.351831,1063.820771,304,901,597
R5,(stage-2={'1.0'}),complement,1.000000,0.000000,1415.917582,1145.351831,961.951583,364,901,537
R6,(stage-3={'0.0'}),complement,1.000000,0.000000,1395.277273,1145.351831,906.811280,440,901,461
